No.,Time,Source,Destination,Protocol,Length,Time since previous frame in this TCP stream,Source Port,Destination Port,Sequence Number,Acknowledgment Number,Time to Live,Arrival Time,S7 Communication,Data length,Function,Length,Byte Address,Info,label
47,2.902343,192.168.1.241,192.168.1.1,COTP,61,0.007977,62991,102,223,244,128,"Jan 22, 2024 16:20:44.818699000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
48,3.042701,192.168.1.241,192.168.1.1,COTP,61,0.140358,62991,102,230,293,128,"Jan 22, 2024 16:20:44.959057000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
49,3.12898,192.168.0.2,192.168.0.1,COTP,145,0.312911,56667,102,1051,3161,128,"Jan 22, 2024 16:20:45.045336000 China Standard Time",,,,,,DT TPDU (0) EOT,Normal
50,3.129396,192.168.0.2,192.168.0.1,COTP,61,0.000416,56667,102,1142,3215,128,"Jan 22, 2024 16:20:45.045752000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
51,3.129637,192.168.0.2,192.168.0.1,COTP,61,0.000241,56667,102,1149,3477,128,"Jan 22, 2024 16:20:45.045993000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
52,3.430732,192.168.0.2,192.168.0.1,COTP,145,0.301095,56667,102,1156,3477,128,"Jan 22, 2024 16:20:45.347088000 China Standard Time",,,,,,DT TPDU (0) EOT,Normal
53,3.431243,192.168.0.2,192.168.0.1,COTP,61,0.000511,56667,102,1247,3531,128,"Jan 22, 2024 16:20:45.347599000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
54,3.431507,192.168.0.2,192.168.0.1,COTP,61,0.000264,56667,102,1254,3793,128,"Jan 22, 2024 16:20:45.347863000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
55,3.474249,192.168.1.241,192.168.1.1,COTP,61,0.431548,62991,102,237,379,128,"Jan 22, 2024 16:20:45.390605000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
56,3.719855,192.168.0.2,192.168.0.1,COTP,61,0.912882,56665,102,36,570,128,"Jan 22, 2024 16:20:45.636211000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
